ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
213491_x_at	RPN2	ribophorin II	-0.892	2.669
213502_x_at	GUSBP11	glucuronidase, beta pseudogene 11	-1.781	6.736
213503_x_at	ANXA2	annexin A2	0.373	2.428
213511_s_at	MTMR1	myotubularin related protein 1	-0.822	4.604
213515_x_at	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	1.221	5.598
213518_at	PRKCI	protein kinase C iota	-1.203	6.572
213519_s_at	LAMA2	laminin subunit alpha 2	0.57	2.757
213524_s_at	G0S2	G0/G1 switch 2	1.508	11.298
213541_s_at	ERG	ERG, ETS transcription factor	0.667	3.313
213553_x_at	APOC1	apolipoprotein C1	-0.547	3.218
213564_x_at	LDHB	lactate dehydrogenase B	0.571	3.104
213571_s_at	EIF4E2	eukaryotic translation initiation factor 4E family member 2	-0.579	3.376
213605_s_at			-1.665	7.44
213615_at	LPCAT3	lysophosphatidylcholine acyltransferase 3	0.349	2.443
213620_s_at	ICAM2	intercellular adhesion molecule 2	1.359	4.531
213627_at	MAGED2	MAGE family member D2	-0.537	3.212
213628_at	CLCC1	chloride channel CLIC like 1	0.41	3.307
213648_at	EXOSC7	exosome component 7	-0.81	4.299
213652_at	PCSK5	proprotein convertase subtilisin/kexin type 5	0.912	3.476
213666_at	SEPT6	septin 6	0.534	2.71
213675_at	PARVA	parvin alpha	0.601	5.419
213684_s_at	PDLIM5	PDZ and LIM domain 5	-0.877	2.482
213689_x_at	FAM69A	family with sequence similarity 69 member A	0.439	3.64
213693_s_at	MUC1	mucin 1, cell surface associated	-2.346	11.989
213698_at	TMEM35B///ZMYM6	transmembrane protein 35B///zinc finger MYM-type containing 6	0.745	2.559
213706_at	GPD1	glycerol-3-phosphate dehydrogenase 1	2.224	11.08
213720_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	-1.006	4.137
213723_s_at	IDUA	iduronidase, alpha-L-	0.681	2.864
213731_s_at	TCF3	transcription factor 3	0.437	2.535
213756_s_at	HSF1	heat shock transcription factor 1	0.9	5.15
213763_at	HIPK2	homeodomain interacting protein kinase 2	0.593	2.47
213764_s_at	MFAP5	microfibrillar associated protein 5	2.713	8.92
213765_at	MFAP5	microfibrillar associated protein 5	1.414	7.212
213786_at	TAX1BP1	Tax1 binding protein 1	-0.78	3.655
213793_s_at	HOMER1	homer scaffolding protein 1	-1.432	6.992
213797_at	RSAD2	radical S-adenosyl methionine domain containing 2	-0.647	2.75
213800_at	CFH	complement factor H	1.175	5.566
213808_at	ADAM23	ADAM metallopeptidase domain 23	0.968	5.658
213817_at	IRAK3	interleukin 1 receptor associated kinase 3	1.003	3.911
213821_s_at	IDS	iduronate 2-sulfatase	0.531	2.574
213857_s_at	CD47	CD47 molecule	-0.462	2.45
213895_at	EMP1	epithelial membrane protein 1	0.732	3.423
213901_x_at	RBFOX2	RNA binding protein, fox-1 homolog 2	0.561	3.65
213911_s_at	H2AFZ	H2A histone family member Z	-0.648	3.049
213913_s_at	TBC1D30	TBC1 domain family member 30	-1.128	5.697
213931_at	ID2B///ID2	inhibitor of DNA binding 2B, HLH protein (pseudogene)///inhibitor of DNA binding 2, HLH protein	-0.804	3.847
213933_at	PTGER3	prostaglandin E receptor 3	1.462	8.688
213935_at	ABHD5	abhydrolase domain containing 5	0.739	4.418
213943_at	TWIST1	twist family bHLH transcription factor 1	0.91	3.178
214012_at	ERAP1	endoplasmic reticulum aminopeptidase 1	0.62	2.773
214030_at	CRYBG3	crystallin beta-gamma domain containing 3	0.604	2.783
214039_s_at	LAPTM4B	lysosomal protein transmembrane 4 beta	-0.377	2.665
214047_s_at	MBD4	methyl-CpG binding domain 4, DNA glycosylase	-0.688	3.039
214063_s_at	TF	transferrin	2.648	12.29
214091_s_at	GPX3	glutathione peroxidase 3	0.742	4.564
214093_s_at	FUBP1	far upstream element binding protein 1	-1.235	8.423
214096_s_at	SHMT2	serine hydroxymethyltransferase 2	-0.606	3.02
214097_at	RPS21	ribosomal protein S21	-0.927	3.628
214113_s_at	RBM8A	RNA binding motif protein 8A	-0.48	3.436
214126_at			0.671	3.13
214140_at	SLC25A16	solute carrier family 25 member 16	0.46	2.479
214143_x_at	RPL24	ribosomal protein L24	-0.386	2.463
214164_x_at	CA12	carbonic anhydrase 12	-0.582	3.361
214179_s_at	NFE2L1	nuclear factor, erythroid 2 like 1	0.603	2.444
214209_s_at	ABCB9	ATP binding cassette subfamily B member 9	-0.538	2.403
214212_x_at	FERMT2	fermitin family member 2	1.365	6.639
214213_x_at	LMNA	lamin A/C	0.397	3.659
214229_at	DNAH17	dynein axonemal heavy chain 17	0.469	2.409
214247_s_at	DKK3	dickkopf WNT signaling pathway inhibitor 3	-0.525	3.111
214272_at	CYLD	CYLD lysine 63 deubiquitinase	0.531	2.402
214280_x_at	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	-0.734	4.187
214289_at	PSMB1	proteasome subunit beta 1	0.589	4.545
214297_at	CSPG4	chondroitin sulfate proteoglycan 4	1.062	5.744
214325_at	GP2	glycoprotein 2	0.396	2.618
214344_at	LINC00950	long intergenic non-protein coding RNA 950	0.708	3.959
214360_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.603	2.478
214379_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	0.48	3.102
214414_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	2.025	13.364
214428_x_at	C4B_2///C4B///C4A	complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)	-0.504	3.727
214433_s_at	SELENBP1	selenium binding protein 1	0.646	3.381
214434_at	HSPA12A	heat shock protein family A (Hsp70) member 12A	0.538	3.596
214436_at	FBXL2	F-box and leucine rich repeat protein 2	-0.629	2.964
214439_x_at	BIN1	bridging integrator 1	1.291	9.349
214451_at	TFAP2B	transcription factor AP-2 beta	-0.873	2.432
214456_x_at	SAA2///SAA1	serum amyloid A2///serum amyloid A1	3.473	14.129
214460_at	LSAMP	limbic system-associated membrane protein	0.521	2.542
214465_at	ORM2///ORM1	orosomucoid 2///orosomucoid 1	0.713	3.378
214480_at	ETV3	ETS variant 3	0.521	2.407
214489_at	FSHB	follicle stimulating hormone beta subunit	0.646	2.701
214500_at	H2AFY	H2A histone family member Y	0.427	3.294
214505_s_at	FHL1	four and a half LIM domains 1	1.797	11.018
214538_x_at	RGS6	regulator of G-protein signaling 6	0.419	2.556
214569_at	IFNA5	interferon alpha 5	0.386	2.632
214582_at	PDE3B	phosphodiesterase 3B	0.695	4.652
214594_x_at	ATP8B1	ATPase phospholipid transporting 8B1	-0.529	2.627
214614_at	MNX1	motor neuron and pancreas homeobox 1	-1.291	5.101
214619_at	CRHR1	corticotropin releasing hormone receptor 1	0.421	2.445
214621_at	GYS2	glycogen synthase 2	0.402	3.289
214636_at	CALCB	calcitonin related polypeptide beta	0.663	2.844
214660_at	ITGA1	integrin subunit alpha 1	1.04	3.712
214665_s_at	CHP1	calcineurin like EF-hand protein 1	0.553	2.53
214669_x_at	IGKC	immunoglobulin kappa constant	-0.655	3.402
214677_x_at	IGLC1	immunoglobulin lambda constant 1	-2.251	7.363
214696_at	MIR22///MIR22HG	microRNA 22///MIR22 host gene	0.617	3.405
214705_at	PATJ	PATJ, crumbs cell polarity complex component	-1.79	7.22
214720_x_at	SEPT10	septin 10	0.502	2.469
214723_x_at	ANKRD36	ankyrin repeat domain 36	-1.271	4.12
214724_at	DIXDC1	DIX domain containing 1	0.566	3.653
214728_x_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	-0.812	3.468
214733_s_at	YIPF1	Yip1 domain family member 1	-0.748	4.783
214761_at	ZNF423	zinc finger protein 423	0.57	2.705
214773_x_at	TIPRL	TOR signaling pathway regulator	-0.696	3.485
214774_x_at	TOX3	TOX high mobility group box family member 3	-1.103	4.268
214791_at	SP140L	SP140 nuclear body protein like	0.665	2.578
214836_x_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	-0.85	3.551
214909_s_at	DDAH2	dimethylarginine dimethylaminohydrolase 2	0.817	2.441
214934_at	ATP9B	ATPase phospholipid transporting 9B (putative)	0.969	4.731
214952_at	NCAM1	neural cell adhesion molecule 1	0.469	2.775
214996_at			0.461	2.414
215000_s_at	FEZ2	fasciculation and elongation protein zeta 2	0.396	2.627
215017_s_at	FNBP1L	formin binding protein 1 like	-0.76	4.34
215039_at	LINC01140	long intergenic non-protein coding RNA 1140	1.259	7.028
215049_x_at	CD163	CD163 molecule	0.626	2.534
215113_s_at	SENP3-EIF4A1///SENP3	SENP3-EIF4A1 readthrough (NMD candidate)///SUMO1/sentrin/SMT3 specific peptidase 3	0.394	2.454
215119_at	MYO16	myosin XVI	0.543	2.916
215121_x_at	CYAT1///IGLV1-44///IGLC1	immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1	-1.374	5.114
215176_x_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	-0.812	2.412
215235_at	SPTAN1	spectrin alpha, non-erythrocytic 1	0.669	3.532
215240_at	ITGB3	integrin subunit beta 3	0.421	2.78
215241_at	ANO3	anoctamin 3	0.823	5.613
215250_at	EMC3	ER membrane protein complex subunit 3	0.613	2.535
215278_at			0.39	2.804
215281_x_at	POGZ	pogo transposable element with ZNF domain	1.006	4.202
215292_s_at	MKL1	megakaryoblastic leukemia (translocation) 1	0.453	2.543
215304_at			-0.671	3.247
215306_at			0.793	5.634
215315_at	ZNF549	zinc finger protein 549	0.547	2.497
215349_at	BTBD18	BTB domain containing 18	0.42	2.499
215350_at	SYNE1	spectrin repeat containing nuclear envelope protein 1	0.525	2.747
215379_x_at	IGLV1-44	immunoglobulin lambda variable 1-44	-2.322	8.559
215380_s_at	GGCT	gamma-glutamylcyclotransferase	-0.433	2.562
215404_x_at	FGFR1	fibroblast growth factor receptor 1	-0.56	3.224
215436_at	HSDL2	hydroxysteroid dehydrogenase like 2	0.523	2.515
215492_x_at	PTCRA	pre T-cell antigen receptor alpha	0.594	4.076
215495_s_at	SAMD4A	sterile alpha motif domain containing 4A	0.529	2.739
215497_s_at	WDTC1	WD and tetratricopeptide repeats 1	0.478	3.014
215523_at	ZNF391	zinc finger protein 391	0.477	3.216
215537_x_at	DDAH2	dimethylarginine dimethylaminohydrolase 2	0.713	2.742
215542_at			0.405	2.421
215552_s_at	ESR1	estrogen receptor 1	-0.509	2.504
215553_x_at			-0.466	2.465
215587_x_at			-0.693	3.721
215590_x_at	ACVR2B-AS1	ACVR2B antisense RNA 1	0.381	2.437
215597_x_at	LOC101929165	uncharacterized LOC101929165	-0.535	2.898
215629_s_at	MIR15A///DLEU2L///DLEU2	microRNA 15a///deleted in lymphocytic leukemia 2-like///deleted in lymphocytic leukemia 2 (non-protein coding)	-0.546	2.615
215660_s_at	MAST2	microtubule associated serine/threonine kinase 2	0.72	2.803
215695_s_at	GYG2	glycogenin 2	2.428	13.493
215697_at			0.424	2.533
215722_s_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	-0.584	2.923
215743_at	NMT2	N-myristoyltransferase 2	0.541	2.917
215768_at			0.708	5.202
215848_at	SCAPER	S-phase cyclin A associated protein in the ER	0.475	2.55
215867_x_at	CA12	carbonic anhydrase 12	-0.45	2.689
215887_at	ZNF277	zinc finger protein 277	0.416	2.9
215897_at	MED25	mediator complex subunit 25	0.486	2.905
215906_at	Igk	immunoglobulin kappa chain complex	0.491	3.036
215915_at	GULP1	GULP, engulfment adaptor PTB domain containing 1	0.654	2.767
215918_s_at	SPTBN1	spectrin beta, non-erythrocytic 1	0.711	3.798
215920_s_at	NPIPA5///NPIPB6///NPIPB15///PDXDC2P///NPIPB3///NPIPA1	nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B15///pyridoxal dependent decarboxylase domain containing 2, pseudogene///nuclear pore complex interacting protein family member B3///nuclear pore complex interacting protein family member A1	0.706	2.738
215946_x_at	IGLL3P	immunoglobulin lambda like polypeptide 3, pseudogene	-1.002	5.649
215964_at			0.552	3.133
215977_x_at	GK	glycerol kinase	0.694	3.485
216033_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	0.56	3.376
216044_x_at	FAM69A	family with sequence similarity 69 member A	0.551	4.577
216063_at	HBBP1	hemoglobin subunit beta pseudogene 1	0.993	3.954
216082_at	NEU3	neuraminidase 3	0.628	2.924
216095_x_at	MTMR1	myotubularin related protein 1	-0.894	5.175
216207_x_at	IGKC	immunoglobulin kappa constant	-1.008	4.147
216226_at	TAF4B	TATA-box binding protein associated factor 4b	0.488	3.74
216264_s_at	LAMB2	laminin subunit beta 2	0.425	2.878
216306_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.416	3.07
216319_at			0.689	3.192
216321_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	0.872	5.202
216331_at	ITGA7	integrin subunit alpha 7	1.701	12.336
216333_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	0.809	4.547
216336_x_at	MT1E	metallothionein 1E	0.483	4.843
216379_x_at	CD24	CD24 molecule	-1.408	11.886
216420_at			0.772	4.109
216440_at			0.374	2.429
216442_x_at	FN1	fibronectin 1	-0.629	3.333
216456_at			0.619	3.317
216502_at	ISG20L2	interferon stimulated exonuclease gene 20 like 2	0.392	3.169
216565_x_at			0.876	2.734
216594_x_at	AKR1C1	aldo-keto reductase family 1 member C1	1.515	10.686
216605_s_at	CEACAM21	carcinoembryonic antigen related cell adhesion molecule 21	0.571	3.085
216610_at	SLC6A2	solute carrier family 6 member 2	0.616	2.673
216621_at			0.354	2.438
216665_s_at	LOC101929148	uncharacterized LOC101929148	0.577	2.706
216679_at	DDR1-AS1	DDR1 antisense RNA 1 (head to head)	-0.396	2.458
216682_s_at	SUPT20H	SPT20 homolog, SAGA complex component	-0.63	2.871
216720_at	CYP2U1	cytochrome P450 family 2 subfamily U member 1	0.587	4.461
216834_at	RGS1	regulator of G-protein signaling 1	-1.561	8.487
216836_s_at	ERBB2	erb-b2 receptor tyrosine kinase 2	-0.702	2.639
216862_s_at	CMC4	C-X9-C motif containing 4	0.909	3.823
216868_s_at			1.208	5.902
216871_at	ZDHHC17	zinc finger DHHC-type containing 17	0.631	2.881
216894_x_at	CDKN1C	cyclin dependent kinase inhibitor 1C	1.425	9.561
216895_at	GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit	0.403	2.414
216908_x_at	RRN3P1	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1	0.707	3.878
216911_s_at	HIC2	hypermethylated in cancer 2	0.346	2.896
216916_s_at	DLGAP2	DLG associated protein 2	0.413	2.405
216924_s_at	DRD2	dopamine receptor D2	0.522	2.468
216925_s_at	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	0.744	3.829
216929_x_at	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	0.498	3.037
217014_s_at	AZGP1P1///AZGP1	alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding	-0.496	2.616
217022_s_at	IGHA2///IGHA1///IGH	immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus	-1.892	4.537
217028_at	CXCR4	C-X-C motif chemokine receptor 4	-1.056	9.138
217029_at			0.456	3.346
217047_s_at	FAM13A	family with sequence similarity 13 member A	0.877	7.957
217137_x_at			0.446	3.012
217139_at	VDAC1	voltage dependent anion channel 1	0.444	3.081
217152_at			-0.596	2.979
217153_at	ARHGAP1	Rho GTPase activating protein 1	0.307	2.755
217197_x_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.418	2.934
217198_x_at	IGHG1///IGHD///IGHA2///IGH	immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy locus	0.572	3.974
217200_x_at	CYB561	cytochrome b561	-0.72	4.813
217232_x_at	HBB	hemoglobin subunit beta	1.779	9.466
217322_x_at			-0.602	2.69
217359_s_at	NCAM1	neural cell adhesion molecule 1	0.465	2.992
217377_x_at	NTRK3	neurotrophic receptor tyrosine kinase 3	0.483	2.82
217383_at	PGK1	phosphoglycerate kinase 1	0.521	2.568
217414_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	1.815	10.174
217428_s_at	COL10A1	collagen type X alpha 1 chain	-1.078	4.924
217437_s_at	TACC1	transforming acidic coiled-coil containing protein 1	1.035	4.762
217443_at	LOC101927792	uncharacterized LOC101927792	0.476	2.434
217504_at	ABCA6	ATP binding cassette subfamily A member 6	0.539	2.488
217586_x_at			-0.564	2.732
217592_at	ZSWIM1	zinc finger SWIM-type containing 1	0.596	2.599
217599_s_at	MDFIC	MyoD family inhibitor domain containing	0.683	3.446
217605_at	USP27X	ubiquitin specific peptidase 27, X-linked	0.573	3.707
217637_at	KCNB1	potassium voltage-gated channel subfamily B member 1	0.334	2.712
217645_at	SYNJ2BP-COX16///COX16	SYNJ2BP-COX16 readthrough///COX16, cytochrome c oxidase assembly homolog	0.448	3.209
217672_x_at	EIF1	eukaryotic translation initiation factor 1	0.616	3.362
217675_at	ZBTB7C	zinc finger and BTB domain containing 7C	0.389	2.824
217714_x_at	MIR3917///STMN1	microRNA 3917///stathmin 1	-0.738	5.831
217730_at	MIR6513///TMBIM1	microRNA 6513///transmembrane BAX inhibitor motif containing 1	1.238	4.903
217734_s_at	WDR6	WD repeat domain 6	-0.7	2.879
217757_at	A2M	alpha-2-macroglobulin	0.453	2.456
217771_at	GOLM1	golgi membrane protein 1	-1.175	5.829
217776_at	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	-0.976	4.418
217781_s_at	ZNF106	zinc finger protein 106	0.958	5.987
217794_at	PRR13	proline rich 13	-1.297	6.658
217809_at	BZW2	basic leucine zipper and W2 domains 2	-0.885	4.846
217820_s_at	ENAH	enabled homolog (Drosophila)	-0.51	4.436
217842_at	C7orf55-LUC7L2///LUC7L2	C7orf55-LUC7L2 readthrough///LUC7 like 2, pre-mRNA splicing factor	-1.218	4.008
217844_at	CTDSP1	CTD small phosphatase 1	0.529	2.731
217851_s_at	PRELID3B	PRELI domain containing 3B	-1.085	3.264
217853_at	TNS3	tensin 3	1.122	4.745
217865_at	RNF130	ring finger protein 130	1.146	4.648
217871_s_at	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	-0.553	3.266
217874_at	SUCLG1	succinate-CoA ligase alpha subunit	0.619	2.516
217913_at	VPS4A	vacuolar protein sorting 4 homolog A	0.412	2.81
217943_s_at	MAP7D1	MAP7 domain containing 1	0.91	3.942
217969_at	VPS51	VPS51, GARP complex subunit	0.502	2.548
217979_at	TSPAN13	tetraspanin 13	-0.537	4.582
217986_s_at	BAZ1A	bromodomain adjacent to zinc finger domain 1A	-0.903	3.985
218002_s_at	CXCL14	C-X-C motif chemokine ligand 14	0.92	3.078
218009_s_at	PRC1	protein regulator of cytokinesis 1	-1.629	6.801
218024_at	MPC1	mitochondrial pyruvate carrier 1	0.49	3.974
218031_s_at	FOXN3	forkhead box N3	1.653	8.04
218032_at	SNN	stannin	0.584	5.574
218053_at	PRPF40A	pre-mRNA processing factor 40 homolog A	-0.536	3.915
218072_at	COMMD9	COMM domain containing 9	0.419	2.695
218075_at	AAAS	aladin WD repeat nucleoporin	0.498	2.808
218078_s_at	ZDHHC3	zinc finger DHHC-type containing 3	0.643	4.544
218087_s_at	SORBS1	sorbin and SH3 domain containing 1	3.123	14.02
218088_s_at	RRAGC	Ras related GTP binding C	0.397	2.853
218095_s_at	TMEM165	transmembrane protein 165	-0.923	3.144
218123_at	C21orf59	chromosome 21 open reading frame 59	-0.973	5.947
218124_at	RETSAT	retinol saturase	1.127	9.231
218168_s_at	COQ8A	coenzyme Q8A	1.994	13.701
218175_at	CCDC92	coiled-coil domain containing 92	1.364	7.679
218176_at	MAGEF1	MAGE family member F1	-0.738	4.175
218181_s_at	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	0.455	2.642
218186_at	RAB25	RAB25, member RAS oncogene family	-1.896	10.04
218189_s_at	NANS	N-acetylneuraminate synthase	-1.155	6.173
218213_s_at	TMEM258	transmembrane protein 258	-0.794	2.481
218237_s_at	SLC38A1	solute carrier family 38 member 1	-1.802	13.444
218239_s_at	GTPBP4	GTP binding protein 4	-0.53	2.778
218279_s_at	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3	-0.631	2.633
218309_at	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	-0.491	2.649
218313_s_at	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	-0.885	5.149
218331_s_at	FAM208B	family with sequence similarity 208 member B	-0.504	2.838
218353_at	RGS5	regulator of G-protein signaling 5	0.545	2.421
218377_s_at	RWDD2B	RWD domain containing 2B	0.357	2.631
218392_x_at	SFXN1	sideroflexin 1	-0.789	3.044
218398_at	MRPS30	mitochondrial ribosomal protein S30	-0.506	2.542
218404_at	SNX10	sorting nexin 10	0.972	3.386
218418_s_at	KANK2	KN motif and ankyrin repeat domains 2	0.596	4.286
218440_at	MCCC1	methylcrotonoyl-CoA carboxylase 1	0.576	3.816
218445_at	H2AFY2	H2A histone family member Y2	-0.647	2.794
218450_at	HEBP1	heme binding protein 1	0.551	2.791
218453_s_at	TMEM242	transmembrane protein 242	0.348	2.416
218486_at	KLF11	Kruppel like factor 11	0.374	2.426
218487_at	ALAD	aminolevulinate dehydratase	0.698	3.948
218494_s_at	SLC2A4RG	SLC2A4 regulator	0.549	3.283
218496_at	RNASEH1	ribonuclease H1	0.765	3.378
218499_at	STK26	serine/threonine protein kinase 26	-0.837	7.297
218502_s_at	TRPS1	transcriptional repressor GATA binding 1	-0.824	7.041
218507_at	HILPDA	hypoxia inducible lipid droplet associated	0.409	2.857
218541_s_at	C8orf4	chromosome 8 open reading frame 4	-1.226	4.034
218542_at	CEP55	centrosomal protein 55	-0.822	3.823
218546_at	C1orf115	chromosome 1 open reading frame 115	0.848	3.142
218547_at	DHDDS	dehydrodolichyl diphosphate synthase subunit	0.836	4.853
218574_s_at	LMCD1	LIM and cysteine rich domains 1	0.538	5.118
218581_at	ABHD4	abhydrolase domain containing 4	0.372	3.34
218585_s_at	DTL	denticleless E3 ubiquitin protein ligase homolog	-0.762	4.349
218586_at	MRGBP	MRG/MORF4L binding protein	-0.458	2.423
218604_at	LEMD3	LEM domain containing 3	-0.518	2.962
218625_at	NRN1	neuritin 1	1.146	7.872
218631_at	AVPI1	arginine vasopressin induced 1	0.433	3.37
218640_s_at	PLEKHF2	pleckstrin homology and FYVE domain containing 2	-0.768	3.92
218651_s_at	LARP6	La ribonucleoprotein domain family member 6	0.634	6.14
218656_s_at	LHFP	lipoma HMGIC fusion partner	0.802	5.822
218665_at	FZD4	frizzled class receptor 4	0.646	6.389
218667_at	PJA1	praja ring finger ubiquitin ligase 1	0.497	4.347
218671_s_at	ATPIF1	ATPase inhibitory factor 1	-0.395	2.498
218677_at	S100A14	S100 calcium binding protein A14	-1.155	8.791
218684_at	LRRC8D	leucine rich repeat containing 8 family member D	-0.544	2.973
218696_at	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	-0.637	3.325
218711_s_at	SDPR	serum deprivation response	0.914	6.389
218715_at	UTP6	UTP6, small subunit processome component	-0.667	2.478
218723_s_at	RGCC	regulator of cell cycle	1.418	10.875
218730_s_at	OGN	osteoglycin	0.852	2.773
218732_at	PTRH2	peptidyl-tRNA hydrolase 2	-0.627	3.155
218736_s_at	PALMD	palmdelphin	1.894	10.78
218756_s_at	DHRS11	dehydrogenase/reductase 11	0.483	2.859
218773_s_at	MSRB2	methionine sulfoxide reductase B2	1.38	4.77
218780_at	HOOK2	hook microtubule tethering protein 2	0.665	3.83
218783_at	INTS7	integrator complex subunit 7	-0.913	3.659
218805_at	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5	0.562	2.85
218807_at	VAV3	vav guanine nucleotide exchange factor 3	-0.375	2.753
218814_s_at	TMEM206	transmembrane protein 206	0.737	3.713
218816_at	LRRC1	leucine rich repeat containing 1	-0.798	4.091
218826_at	SLC35F2	solute carrier family 35 member F2	0.402	3.17
218834_s_at	TMEM132A	transmembrane protein 132A	-0.663	3.913
218837_s_at	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative)	0.721	4.04
218846_at	MED23	mediator complex subunit 23	-0.476	2.833
218854_at	DSE	dermatan sulfate epimerase	0.497	2.734
218865_at	MARC1	mitochondrial amidoxime reducing component 1	0.734	4.562
218876_at	TPPP3	tubulin polymerization promoting protein family member 3	0.534	2.414
218888_s_at	NETO2	neuropilin and tolloid like 2	-0.425	2.896
218899_s_at	BAALC	brain and acute leukemia, cytoplasmic	0.393	2.745
218901_at	PLSCR4	phospholipid scramblase 4	0.746	4.822
218903_s_at	NABP2	nucleic acid binding protein 2	0.391	2.467
218905_at	INTS8	integrator complex subunit 8	-0.579	2.903
218918_at	MAN1C1	mannosidase alpha class 1C member 1	0.508	2.543
218934_s_at	HSPB7	heat shock protein family B (small) member 7	0.816	5.597
218947_s_at	MTPAP	mitochondrial poly(A) polymerase	-0.718	2.951
218974_at	SOBP	sine oculis binding protein homolog	0.54	2.968
218976_at	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	-0.971	5.038
218999_at	TMEM140	transmembrane protein 140	0.53	4.095
219007_at	NUP43	nucleoporin 43	-0.855	4.004
219010_at	C1orf106	chromosome 1 open reading frame 106	-0.512	2.627
219025_at	CD248	CD248 molecule	0.471	3.379
219028_at	HIPK2	homeodomain interacting protein kinase 2	1.205	5.233
219048_at	PIGN	phosphatidylinositol glycan anchor biosynthesis class N	-0.609	3.786
219054_at	NPR3	natriuretic peptide receptor 3	1.114	6.621
219059_s_at	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	0.753	2.914
219064_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	1.582	12.478
219075_at	YIPF2	Yip1 domain family member 2	-0.593	2.831
219076_s_at	PXMP2	peroxisomal membrane protein 2	0.426	2.783
219083_at	SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor	-0.769	3.724
219090_at	SLC24A3	solute carrier family 24 member 3	0.774	3.204
219093_at	PID1	phosphotyrosine interaction domain containing 1	1.504	7.429
219105_x_at	ORC6	origin recognition complex subunit 6	-0.386	2.552
219117_s_at	FKBP11	FK506 binding protein 11	-1.615	6.364
219124_at	TTI2	TELO2 interacting protein 2	0.526	3.045
219134_at	ADGRL4	adhesion G protein-coupled receptor L4	0.713	3.126
219140_s_at	RBP4	retinol binding protein 4	4.108	17.628
219148_at	PBK	PDZ binding kinase	-0.577	3.378
219161_s_at	CKLF-CMTM1///CKLF	CKLF-CMTM1 readthrough///chemokine like factor	-0.414	2.406
219205_at	SRR	serine racemase	0.337	2.838
219209_at	IFIH1	interferon induced with helicase C domain 1	-1.095	5.852
219230_at	TMEM100	transmembrane protein 100	0.681	5.097
219288_at	C3orf14	chromosome 3 open reading frame 14	-0.971	5.82
219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	2.553	15.444
219298_at	ECHDC3	enoyl-CoA hydratase domain containing 3	1.795	8.364
219331_s_at	KLHDC8A	kelch domain containing 8A	0.541	2.613
